T,E,fold_cv,task_id,logloss_poda,logloss_real,logloss_perdido(%),n_iter_poda,n_iter_real,iter_ahorradas(%),sesgo_calibracion
10,-0.2,0,359975,0.021307,0.020519,3.8403,89050,866019,89.7173,-0.145525
10,-0.2,0,359980,0.067901,0.067476,0.6299,899011,3195868,71.8696,-0.146925
10,-0.2,1,168757,0.486913,0.483917,0.6191,104062,1089330,90.4472,0.134383
10,-0.2,1,168911,0.401516,0.395381,1.5517,101648,1078823,90.5779,0.127004
10,-0.2,1,359958,0.177909,0.174458,1.9781,106738,1203058,91.1278,0.032021
10,-0.2,1,359971,0.088379,0.074054,19.344,404020,2192970,81.5766,-0.046499
10,-0.2,1,359979,0.16251,0.152303,6.7018,150983,2219443,93.1973,0.049766
10,-0.2,1,359982,0.192176,0.191489,0.3588,160206,2257560,92.9036,0.039562
10,-0.2,1,359983,0.272901,0.272251,0.2388,179801,2765344,93.4981,0.007383
10,-0.2,2,190137,0.141292,0.141292,0.0,168859,967234,82.5421,-0.013216
10,-0.2,2,190410,0.442706,0.43374,2.0671,150246,2133582,92.958,0.045791
10,-0.2,2,190411,0.294607,0.293145,0.4987,128444,1588070,91.9119,0.015657
10,-0.2,2,359962,0.33539,0.329269,1.859,88808,823297,89.2131,0.063067
10,-0.2,2,359968,0.145279,0.141681,2.5395,130958,1567975,91.648,-0.043312
10,-0.2,2,359972,0.135315,0.130461,3.7207,164618,2115802,92.2196,0.045323
10,-0.1,0,146820,0.0394,0.038271,2.95,146182,1740856,91.6029,-0.119779
10,-0.1,0,168350,0.235516,0.23352,0.8547,142258,1704624,91.6546,-0.045382
10,-0.1,0,190392,0.374188,0.331513,12.8728,149401,2030996,92.644,0.037291
10,-0.1,0,359956,0.295673,0.292846,0.9654,235691,1344127,82.4651,-0.056464
10,-0.1,0,359965,0.015906,0.015906,0.0,697269,2178742,67.9967,-0.183477
10,-0.1,0,359975,0.021307,0.020519,3.8403,89050,866019,89.7173,-0.145525
10,-0.1,0,359980,0.067476,0.067476,0.0,989150,3195868,69.0491,-0.146925
10,-0.1,1,168757,0.486913,0.483917,0.6191,104062,1089330,90.4472,0.134383
10,-0.1,1,168911,0.401516,0.395381,1.5517,227064,1078823,78.9526,0.127004
10,-0.1,1,359958,0.177909,0.174458,1.9781,106738,1203058,91.1278,0.032021
10,-0.1,1,359971,0.074054,0.074054,0.0,437260,2192970,80.0608,-0.046499
10,-0.1,1,359979,0.16251,0.152303,6.7018,150983,2219443,93.1973,0.049766
10,-0.1,1,359982,0.192176,0.191489,0.3588,160206,2257560,92.9036,0.039562
10,-0.1,1,359983,0.272882,0.272251,0.2318,233406,2765344,91.5596,0.007383
10,-0.1,2,190137,0.141292,0.141292,0.0,183741,967234,81.0035,-0.013216
10,-0.1,2,190410,0.442706,0.43374,2.0671,150246,2133582,92.958,0.045791
10,-0.1,2,190411,0.294607,0.293145,0.4987,128444,1588070,91.9119,0.015657
10,-0.1,2,359962,0.33539,0.329269,1.859,90744,823297,88.978,0.063067
10,-0.1,2,359968,0.144109,0.141681,1.7137,140375,1567975,91.0474,-0.043312
10,-0.1,2,359972,0.135315,0.130461,3.7207,246232,2115802,88.3622,0.045323
10,0.0,0,146820,0.0394,0.038271,2.95,146182,1740856,91.6029,-0.119779
10,0.0,0,168350,0.235516,0.23352,0.8547,342196,1704624,79.9254,-0.045382
10,0.0,0,190392,0.369185,0.331513,11.3637,159148,2030996,92.164,0.037291
10,0.0,0,359956,0.294834,0.292846,0.6789,370218,1344127,72.4566,-0.056464
10,0.0,0,359965,0.015906,0.015906,0.0,706218,2178742,67.586,-0.183477
10,0.0,0,359975,0.021307,0.020519,3.8403,89050,866019,89.7173,-0.145525
10,0.0,0,359980,0.067476,0.067476,0.0,1102511,3195868,65.502,-0.146925
