T,E,fold_cv,task_id,logloss_poda,logloss_real,logloss_perdido(%),n_iter_poda,n_iter_real,iter_ahorradas(%),sesgo_calibracion
10,0.0,2,359962,0.315116,0.315116,0.0,93871,204257,54.0427,0.040734
10,0.0,2,359968,0.14097,0.140843,0.0902,164301,817466,79.9012,-0.040117
10,0.0,2,359972,0.126079,0.126079,0.0,356781,416740,14.3876,-0.036261
10,0.1,0,146820,0.038065,0.037995,0.1842,222773,1238041,82.006,-0.075995
10,0.1,0,168350,0.225671,0.225671,0.0,467699,630490,25.8198,-0.046378
10,0.1,0,190392,0.33452,0.3172,5.4603,143471,713336,79.8873,0.062296
10,0.1,0,359956,0.285494,0.285494,0.0,404316,441191,8.3581,-0.043664
10,0.1,0,359965,0.016131,0.016131,0.0,808173,849323,4.845,-0.163561
10,0.1,0,359975,0.020512,0.020512,0.0,170183,288404,40.9915,-0.057556
10,0.1,0,359980,0.066671,0.066671,-0.0,1290659,1577750,18.1962,-0.133486
10,0.1,1,168757,0.479304,0.479304,0.0,299416,301394,0.6563,0.129076
10,0.1,1,168911,0.395491,0.392326,0.8067,152326,467507,67.4174,0.129957
10,0.1,1,359958,0.173676,0.170866,1.6446,194048,385852,49.7092,0.023206
10,0.1,1,359971,0.062183,0.062183,0.0,753114,786481,4.2426,-0.044962
10,0.1,1,359979,0.154014,0.149956,2.7061,133554,1203291,88.9009,0.076193
10,0.1,1,359982,0.1906,0.1906,0.0,901464,901464,0.0,0.043414
10,0.1,1,359983,0.271274,0.271175,0.0365,614752,1355440,54.6456,0.03764
10,0.1,2,190137,0.141034,0.140074,0.6854,164264,494909,66.8093,0.002765
10,0.1,2,190410,0.426261,0.425278,0.2311,361670,545157,33.6576,0.059745
10,0.1,2,190411,0.290798,0.290798,0.0,800902,1027795,22.0757,0.017776
10,0.1,2,359962,0.315116,0.315116,0.0,197987,204257,3.0697,0.040734
10,0.1,2,359968,0.140843,0.140843,0.0,253668,817466,68.969,-0.040117
10,0.1,2,359972,0.126079,0.126079,0.0,360610,416740,13.4688,-0.036261
15,-0.2,0,146820,0.039148,0.037995,3.0346,130678,1238041,89.4448,-0.066918
15,-0.2,0,168350,0.227085,0.225671,0.6266,156208,630490,75.2243,-0.00475
15,-0.2,0,190392,0.374188,0.3172,17.966,128350,713336,82.0071,0.071586
15,-0.2,0,359956,0.290179,0.285494,1.641,97572,441191,77.8844,-0.005015
15,-0.2,0,359965,0.016131,0.016131,0.0,813450,849323,4.2237,-0.121818
15,-0.2,0,359975,0.021307,0.020512,3.8758,67922,288388,76.4477,-0.056484
15,-0.2,0,359980,0.066671,0.066671,-0.0,1333110,1577750,15.5056,-0.084545
15,-0.2,1,168757,0.486913,0.479304,1.5875,83057,301394,72.4424,0.108444
15,-0.2,1,168911,0.399609,0.392326,1.8564,83591,467507,82.1198,0.105459
15,-0.2,1,359958,0.177909,0.170866,4.1219,85680,385852,77.7946,0.019789
15,-0.2,1,359971,0.062183,0.062183,0.0,724995,786481,7.8179,-0.050195
15,-0.2,1,359979,0.16251,0.149956,8.3718,129711,1203291,89.2203,0.067807
15,-0.2,1,359982,0.192176,0.1906,0.8269,139298,901464,84.5476,0.039351
15,-0.2,1,359983,0.272035,0.271175,0.3171,180679,1355440,86.6701,0.017361
15,-0.2,2,190137,0.143959,0.140074,2.7735,74798,494909,84.8865,0.018327
15,-0.2,2,190410,0.442706,0.425278,4.098,129209,545157,76.2988,0.0755
15,-0.2,2,190411,0.291179,0.290798,0.131,150937,1027795,85.3145,0.028881
15,-0.2,2,359962,0.33539,0.309847,8.2439,67685,202981,66.6545,0.061809
15,-0.2,2,359968,0.143175,0.140843,1.6557,119180,817466,85.4208,-0.030832
15,-0.2,2,359972,0.126079,0.126079,0.0,309512,416740,25.7302,-0.072368
15,-0.1,0,146820,0.039148,0.037995,3.0346,133547,1238041,89.213,-0.066918
15,-0.1,0,168350,0.227085,0.225671,0.6266,169073,630490,73.1839,-0.00475
15,-0.1,0,190392,0.374188,0.3172,17.966,128350,713336,82.0071,0.071586
15,-0.1,0,359956,0.287348,0.285494,0.6494,178040,441191,59.6456,-0.005015
15,-0.1,0,359965,0.016131,0.016131,0.0,818129,849323,3.6728,-0.121818
15,-0.1,0,359975,0.020512,0.020512,0.0,72632,288388,74.8145,-0.056484
15,-0.1,0,359980,0.066671,0.066671,-0.0,1400135,1577750,11.2575,-0.084545
15,-0.1,1,168757,0.486913,0.479304,1.5875,83057,301394,72.4424,0.108444
15,-0.1,1,168911,0.396838,0.392326,1.1501,96270,467507,79.4078,0.105459
15,-0.1,1,359958,0.175934,0.170866,2.9661,113953,385852,70.4672,0.019789
15,-0.1,1,359971,0.062183,0.062183,0.0,732344,786481,6.8834,-0.050195
15,-0.1,1,359979,0.16251,0.149956,8.3718,129711,1203291,89.2203,0.067807
15,-0.1,1,359982,0.190889,0.1906,0.1516,183435,901464,79.6514,0.039351
15,-0.1,1,359983,0.271918,0.271175,0.274,226339,1355440,83.3014,0.017361
15,-0.1,2,190137,0.143959,0.140074,2.7735,74798,494909,84.8865,0.018327
15,-0.1,2,190410,0.442706,0.425278,4.098,129209,545157,76.2988,0.0755
15,-0.1,2,190411,0.291179,0.290798,0.131,205537,1027795,80.0021,0.028881
15,-0.1,2,359962,0.33539,0.309847,8.2439,67685,202981,66.6545,0.061809
15,-0.1,2,359968,0.142702,0.140843,1.3199,134000,817466,83.6079,-0.030832
15,-0.1,2,359972,0.126079,0.126079,0.0,321989,416740,22.7362,-0.072368
15,0.0,0,146820,0.038538,0.037995,1.4291,140050,1238041,88.6878,-0.066918
15,0.0,0,168350,0.227085,0.225671,0.6266,180526,630490,71.3673,-0.00475
15,0.0,0,190392,0.351676,0.3172,10.8689,130845,713336,81.6573,0.071586
15,0.0,0,359956,0.285494,0.285494,0.0,363922,441191,17.5137,-0.005015
15,0.0,0,359965,0.016131,0.016131,0.0,820833,849323,3.3544,-0.121818
15,0.0,0,359975,0.020512,0.020512,0.0,125477,288388,56.4902,-0.056484
15,0.0,0,359980,0.066671,0.066671,-0.0,1427894,1577750,9.4981,-0.084545
15,0.0,1,168757,0.48355,0.479304,0.8859,133311,301394,55.7685,0.108444
15,0.0,1,168911,0.396838,0.392326,1.1501,124141,467507,73.4462,0.105459
15,0.0,1,359958,0.171996,0.170866,0.6613,178660,385852,53.6973,0.019789
15,0.0,1,359971,0.062183,0.062183,0.0,740559,786481,5.8389,-0.050195
15,0.0,1,359979,0.16251,0.149956,8.3718,129711,1203291,89.2203,0.067807
15,0.0,1,359982,0.19086,0.1906,0.1364,576999,901464,35.9931,0.039351
15,0.0,1,359983,0.271555,0.271175,0.1401,259673,1355440,80.8422,0.017361
15,0.0,2,190137,0.142326,0.140074,1.6077,93515,494909,81.1046,0.018327
